algoritmo,tipo_entrada,n,repeticoes,tempo_medio,tempo_minimo,tempo_maximo,desvio_tempo,comparacoes,trocas,movimentacoes
Insertion Sort,ordenada,500,3,0.0001227000029757619,0.0001221999991685152,0.00012360000982880592,6.377090714514885e-07,499.0,0.0,499.0
Insertion Sort,ordenada,1000,3,0.00026866665575653315,0.00026509998133406043,0.00027329998556524515,3.4315528683679833e-06,999.0,0.0,999.0
Insertion Sort,ordenada,5000,3,0.0013840333267580718,0.0013698000111617148,0.0013936999894212931,1.027758011274595e-05,4999.0,0.0,4999.0
Insertion Sort,ordenada,10000,3,0.0029319000022951514,0.0028095000016037375,0.0031374999962281436,0.00014625930916230398,9999.0,0.0,9999.0
Insertion Sort,ordenada,50000,3,0.016708266678809498,0.015517800027737394,0.017895900004077703,0.0009708573170721424,49999.0,0.0,49999.0
Insertion Sort,ordenada,100000,3,0.03105410000231738,0.029806000005919486,0.032808099989779294,0.0012767412107893275,99999.0,0.0,99999.0
Insertion Sort,inversa,100,3,0.001315566662621374,0.001193600008264184,0.0014039999805390835,8.910817610407459e-05,4950.0,0.0,5049.0
Insertion Sort,inversa,500,3,0.02643813332542777,0.025450599991017953,0.027845999982673675,0.001022087849036105,124750.0,0.0,125249.0
Insertion Sort,inversa,1000,3,0.10322083333934036,0.09960929999942891,0.10740030001034029,0.003205914481488467,499500.0,0.0,500499.0
Insertion Sort,inversa,5000,3,2.885878433327889,2.7993996999866795,3.0068511000135913,0.08813396780455755,12497500.0,0.0,12502499.0
Insertion Sort,inversa,10000,3,11.321626866663186,11.008468499989249,11.660557600000175,0.2668372909356636,49995000.0,0.0,50004999.0
Insertion Sort,inversa,50000,3,291.6269011000016,283.8318144000077,304.4323085999931,9.125881736762926,1249975000.0,0.0,1250024999.0
Insertion Sort,inversa,100000,3,1264.7375542000034,1248.7947266999981,1277.7992411000014,12.015023713744274,4999950000.0,0.0,5000049999.0
Insertion Sort,parcialmente_ordenada,100,3,0.00018400000408291817,0.00012969999806955457,0.00027260000933893025,6.317948383365806e-05,622.3333333333334,0.0,622.3333333333334
Insertion Sort,parcialmente_ordenada,500,3,0.0033074666765363268,0.0029135000077076256,0.003556200012098998,0.00028176274266344335,14766.0,0.0,14766.0
Insertion Sort,parcialmente_ordenada,1000,3,0.022717200006203104,0.016861500014783815,0.03144960000645369,0.006293367807851223,57159.0,0.0,57159.0
Insertion Sort,parcialmente_ordenada,5000,3,0.42580203332666616,0.41284159998758696,0.4449245999858249,0.01380358981117012,1438326.3333333333,0.0,1438327.0
Insertion Sort,parcialmente_ordenada,10000,3,1.4930733666697051,1.458633500005817,1.5120849999948405,0.024396563975765038,5760633.666666667,0.0,5760634.333333333
Insertion Sort,parcialmente_ordenada,50000,3,37.176723366651764,36.146850999997696,38.282955499977106,0.8737309727761899,144947862.33333334,0.0,144947863.0
Insertion Sort,parcialmente_ordenada,100000,3,138.42853213333487,136.21986569999717,142.01792889999342,2.5604942762159504,575734504.0,0.0,575734504.6666666
